#name	time	long	lat	height	roll	pitch	heading
SEAG00034_021253.JPG	526372.172	106.2062809	10.40515181	116.137	-1.813665512	1.101974681	4.648874712
SEAG00035_021255.JPG	526374.172	106.2062809	10.4051519	116.204	-2.244449332	1.607818494	4.545888751
SEAG00036_021257.JPG	526376.171	106.2062799	10.40515061	116.232	-2.485511768	-6.36169627	-54.80711422
SEAG00037_021259.JPG	526378.171	106.2062429	10.40517461	116.155	-3.169578561	-22.77039137	-54.11136062
SEAG00038_021301.JPG	526380.172	106.2061171	10.40525743	116.102	-5.231364253	-22.96222492	-53.32120196
SEAG00039_021303.JPG	526382.172	106.205926	10.40538017	116.089	-4.453141604	-23.31565297	-53.66153216
SEAG00040_021305.JPG	526384.171	106.205693	10.40552637	116.121	-4.894687316	-23.15768904	-53.36556582
SEAG00041_021307.JPG	526386.171	106.2054458	10.40567887	116.197	-3.154842029	-16.31325608	-53.7326887
SEAG00042_021309.JPG	526388.172	106.2052101	10.40582567	116.188	-2.98932722	-17.71840454	-54.07152511
SEAG00043_021311.JPG	526390.172	106.2049789	10.40597068	116.228	-3.652704654	-17.72262489	-53.92455534
SEAG00044_021313.JPG	526392.171	106.2047474	10.4061159	116.161	-3.644793414	-17.08643139	-53.9127635
SEAG00045_021315.JPG	526394.171	106.2045158	10.40626101	116.174	-3.512128358	-16.49702198	-53.94154482
SEAG00046_021317.JPG	526396.172	106.2042857	10.40640569	116.14	-3.985723611	-17.18088089	-53.66433624
SEAG00047_021319.JPG	526398.172	106.2040552	10.40655058	116.198	-3.399144855	-17.63842001	-53.64374165
SEAG00048_021321.JPG	526400.172	106.2038238	10.40669536	116.195	-3.531066164	-16.56951935	-53.68058953
SEAG00049_021323.JPG	526402.171	106.2035935	10.40683966	116.182	-3.191589703	-17.17510912	-53.6932641
SEAG00050_021325.JPG	526404.171	106.2033619	10.40698499	116.188	-3.118981952	-15.00607003	-53.58978658
SEAG00051_021327.JPG	526406.172	106.203131	10.40713016	116.204	-3.199350835	-16.62672557	-53.34606994
SEAG00052_021329.JPG	526408.172	106.2029005	10.40727516	116.236	-3.329366306	-15.64882176	-53.15301198
SEAG00053_021331.JPG	526410.171	106.2026698	10.4074196	116.183	-3.43849628	-16.93700683	-53.22320445
SEAG00054_021333.JPG	526412.171	106.2024386	10.40756556	116.161	-3.91794918	-16.00724418	-52.76448269
SEAG00055_021335.JPG	526414.172	106.2022089	10.40770981	116.129	-4.505722268	-19.7428911	-52.67707559
SEAG00056_021337.JPG	526416.172	106.2019778	10.40785507	116.139	-4.151745477	-17.58565552	-52.87916624
SEAG00057_021339.JPG	526418.171	106.201747	10.40799996	116.106	-4.566534026	-18.19762045	-52.68215457
SEAG00058_021341.JPG	526420.171	106.2015156	10.40814476	116.076	-3.769993882	-17.89770165	-52.8266538
SEAG00059_021343.JPG	526422.172	106.2012841	10.40828955	116.015	-3.281592091	-17.20327975	-52.870105
SEAG00060_021345.JPG	526424.172	106.2010531	10.4084354	116.11	-5.028498189	-18.83557957	-52.36231865
